update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max,total_num_missions,num_succeded_missions
1,2048,3160.593825278541,0,0.018534427780216023,0.1344708234277154,0.0,0.9971874952316284,3.425423728813559,2.8772098784865645,1.0,21.0,1.9338429123163223,-0.004302953719161451,-0.07771820109337568,0.010931250173598528,0.13309794480340525,0.018534427780216023,0.1344708234277154,0.0,0.9971874952316284,590,11
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max,total_num_missions,num_succeded_missions
2,4096,3303.080344676559,1,0.01662643119579053,0.1272220165796547,0.0,0.9971874952316284,3.1114503816793895,2.5082654577051144,1.0,26.0,1.9269168227910995,0.019973873859271407,0.010725211468525231,0.013151682913303375,0.03374886375217527,0.01662643119579053,0.1272220165796547,0.0,0.9971874952316284,655,11
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max,total_num_missions,num_succeded_missions
3,6144,3253.6201409332016,1,0.0273969565591386,0.16221605066993644,0.0,0.9971874952316284,3.1833590138674883,2.7603790067560565,1.0,27.0,1.9077049493789673,0.03447768639307469,-0.018533808179199696,0.024949980434030294,0.07463795714392468,0.0273969565591386,0.16221605066993644,0.0,0.9971874952316284,649,18
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max,total_num_missions,num_succeded_missions
4,8192,3267.548692932531,2,0.03964204506440596,0.19420887110148644,0.0,0.9971874952316284,3.6654545454545455,3.1790346265847425,1.0,30.0,1.8797850608825684,0.032401132164523005,-0.012723137915600091,0.02547258953563869,0.05982564891549173,0.03964204506440596,0.19420887110148644,0.0,0.9971874952316284,550,22
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max,total_num_missions,num_succeded_missions
5,10240,3238.179364837025,3,0.03503940922752367,0.18258110752804607,0.0,0.9971874952316284,3.6518650088809945,3.0553698882571805,1.0,23.0,1.8824883997440338,0.04370651952922344,0.003116122328719939,0.03064015181735158,0.08889077125477378,0.03503940922752367,0.18258110752804607,0.0,0.9971874952316284,563,20
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max,total_num_missions,num_succeded_missions
6,12288,3237.4641876823916,3,0.05150830894995746,0.2198836487292886,0.0,0.9971874952316284,3.955684007707129,3.2953463807508423,1.0,23.0,1.854109287261963,0.03931750496849418,-0.014940311448299326,0.029631476383656263,0.07706598514459473,0.05150830894995746,0.2198836487292886,0.0,0.9971874952316284,519,27
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max,total_num_missions,num_succeded_missions
